"","input","filtered","nonchim","filter.loss"
"AFI1622_filt.fastq.gz",10886,9057,9057,0.168013962888113
"AFI1623_filt.fastq.gz",6614,5846,5846,0.116117326882371
"AFI1624_filt.fastq.gz",450,327,327,0.273333333333333
"AFI1625_filt.fastq.gz",8355,7277,7229,0.129024536205865
"AFI1626_filt.fastq.gz",959,720,720,0.249217935349322
"AFI1627_filt.fastq.gz",3387,2889,2889,0.147032772364925
"AFI1628_filt.fastq.gz",8075,7322,7157,0.093250773993808
"AFI1629_filt.fastq.gz",5058,4019,4019,0.205417160933175
"AFI1630_filt.fastq.gz",4554,3877,3877,0.148660518225736
"AFI1631_filt.fastq.gz",19185,17882,17882,0.0679176439927026
"AFI1632_filt.fastq.gz",18965,16551,16551,0.127287107830214
"AFI1633_filt.fastq.gz",103662,93738,91626,0.095734213115703
"AFI1634_filt.fastq.gz",30462,29558,29558,0.0296763180355853
"AFI1635_filt.fastq.gz",4338,3752,3752,0.135085292761641
"AFI1636_filt.fastq.gz",4230,3615,3615,0.145390070921986
"AFI1637_filt.fastq.gz",17941,16297,16297,0.0916336882002118
"AFI1638_filt.fastq.gz",9999,8865,8865,0.113411341134113
"AFI1639_filt.fastq.gz",68496,61423,60778,0.10326150432142
"AFI1640_filt.fastq.gz",8236,7547,7547,0.0836571151044196
"AFI1641_filt.fastq.gz",15046,13206,13206,0.122291638973814
"AFI1642_filt.fastq.gz",31611,27477,27475,0.130777261080004
"AFI1643_filt.fastq.gz",43540,38761,38715,0.109761139182361
"AFI1644_filt.fastq.gz",22463,20027,20027,0.108444998441882
"AFI1645_filt.fastq.gz",25961,23062,22976,0.111667501251878
"AFI1646_filt.fastq.gz",49957,45965,45933,0.0799087215004904
"AFI1647_filt.fastq.gz",45401,40410,40348,0.109931499306183
"AFI1648_filt.fastq.gz",21652,18705,18705,0.136107518935895
"AFI1649_filt.fastq.gz",10107,8193,8193,0.189373701395073
"AFI1650_filt.fastq.gz",33394,29488,29435,0.116967119841888
"AFI1651_filt.fastq.gz",34929,31898,31697,0.0867760313779381
"AFI1652_filt.fastq.gz",19235,16645,16645,0.134650376917078
"AFI1653_filt.fastq.gz",10490,9045,8976,0.137750238322212
"AFI1654_filt.fastq.gz",30865,28809,28574,0.0666126680706302
"AFI1655_filt.fastq.gz",37719,32998,32998,0.125162385004905
"AFI1656_filt.fastq.gz",5296,4776,4776,0.0981873111782477
"AFI1657_filt.fastq.gz",15702,13706,13706,0.127117564641447
"AFI1658_filt.fastq.gz",6401,5475,5475,0.144664896109983
"AFI1659_filt.fastq.gz",13265,11538,11538,0.130192235205428
"AFI1660_filt.fastq.gz",9903,8610,8610,0.130566495001515
"AFI1661_filt.fastq.gz",33446,30489,30076,0.0884111702445733
"AFI1662_filt.fastq.gz",41405,38633,38277,0.0669484361792054
"AFI1663_filt.fastq.gz",17736,15297,15297,0.137516914749662
"AFI1664_filt.fastq.gz",29380,25472,25339,0.133015656909462
"AFI1665_filt.fastq.gz",30342,25684,25630,0.153516577681102
"AFI1666_filt.fastq.gz",14347,12062,12062,0.159266745661114
"AFI1667_filt.fastq.gz",39100,33610,33610,0.140409207161125
"AFI1668_filt.fastq.gz",14205,11825,11825,0.167546638507568
"AFI1669_filt.fastq.gz",15044,12777,12777,0.150691305503855
"AFI1670_filt.fastq.gz",34749,30574,30574,0.120147342369565
"AFI1671_filt.fastq.gz",10592,9100,9100,0.140861027190332
"AFI1672_filt.fastq.gz",11148,9357,9357,0.160656620021529
